@relation data2

@attribute SEHIRLER {ADANA,AFYON,AGRI,AMASYA,ANKARA,ANTALYA,AYDIN,BALIKESIR,BOLU,BURDUR,BURSA,CANAKKALE,CANKIRI,DUZCE,ERZURUM,ESKISEHIR,GAZIANTEP,GIRESUN,HATAY,ISTANBUL,IZMIR,KARS,KASTAMONU,KASYSERI,KILIS,KOCAELI,KONYA,KUTAHYA,MANISA,MERSIN,MUGLA,NEVSEHIR,NIGDE,ORDU,OSMANIYE,SAMSUN,TEKIRDAG,TOKAT,TRABZON,SINOP,USAK,ZONGULDAK}
@attribute SO2 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute O3 numeric
@attribute PM10 numeric
@attribute 'HAVA KALITESI' {iyi,kotu}

@data
DUZCE,10.47,23.28,1121.66,18.65,56.52,iyi
DUZCE,11.58,26.59,1754.05,19.53,94.76,kotu
DUZCE,11.72,25.66,1972.29,20.21,107.35,kotu
DUZCE,10.86,15.52,1560.86,21.32,84.68,kotu
DUZCE,9.37,16.33,518.33,24.77,12.58,iyi
DUZCE,9.68,14.98,715.42,18.6,34.78,iyi
DUZCE,10.07,15.27,861.37,13.95,40.81,iyi
ERZURUM,5.46,20.99,231.04,54.11,11.89,iyi
ERZURUM,9.41,55.72,440.86,25.89,24.95,iyi
ERZURUM,7.61,45.47,282.38,32.54,24.91,iyi
ERZURUM,5.59,30.81,221.88,49.37,18.76,iyi
ERZURUM,5.36,25.75,251.34,54.42,21.78,iyi
ERZURUM,9.16,34.03,277.83,46.58,23.76,iyi
ERZURUM,16.11,59.89,432.15,23.8,40.89,iyi
ERZURUM,12.08,36.99,434.74,40.78,35.59,iyi
ERZURUM,8.43,41.08,441.17,32.11,37.75,iyi
ERZURUM,7.24,30.44,386.87,51.84,32.58,iyi
ESKISEHIR,13.22,73.77,1568.3,10.367143,42.14,iyi
ESKISEHIR,18.54,126.2,2167.6,10.367143,62.64,iyi
ESKISEHIR,24.11,102.7,2156.22,10.367143,64.49,iyi
ESKISEHIR,23.25,138.33,2548.08,9.91,98.78,kotu
ESKISEHIR,22.8,121.78,2585.91,9.12,103.25,kotu
ESKISEHIR,15.53,86.83,2144.35,9.74,62.55,iyi
ESKISEHIR,15.64,91.39,2203.5,9.81,69.35,iyi
ESKISEHIR,10.8,65.78,2032.02,13.69,34.82,iyi
ESKISEHIR,11.02,77.05,2152.99,10.85,36.72,iyi
ESKISEHIR,21.96,130.11,2833.48,9.45,77.54,kotu
GAZIANTEP,52.35,55.57,1199.82,39.22,57.84,iyi
GAZIANTEP,41.72,35.15,1005.21,37.07,35.96,iyi
GAZIANTEP,43.2,39.9,1005.5,37.9,47.24,iyi
GAZIANTEP,39.61,45.35,1127.19,38.65,58.55,iyi
GAZIANTEP,98.56,56.83,1286.83,35.09,69.36,iyi
GAZIANTEP,87.44,53.77,1350.41,35.65,76.39,kotu
GAZIANTEP,43.97,23.79,816.76,35.85,50.59,iyi
GAZIANTEP,5.23,25.61,749.33,34.33,36.81,iyi
GAZIANTEP,8.04,22.53,744.34,41.48,38.89,iyi
GAZIANTEP,19.58,44.42,1007.46,35.79,53.09,iyi
GIRESUN,10.21,21.18,862.55,20.45,18.92,iyi
GIRESUN,10.25,20.67,882.12,16.95,16.59,iyi
GIRESUN,10.41,27.48,992.87,19.11,29.62,iyi
GIRESUN,9.9,22.42,934.55,17.5,34.69,iyi
GIRESUN,10.14,22.8,960.16,16.89,27.41,iyi
GIRESUN,10.06,25.75,1014.62,15.28,35.59,iyi
GIRESUN,10.08,26.37,1001.59,16.04,38.58,iyi
GIRESUN,10.03,23.9,984.41,17.99,26.17,iyi
GIRESUN,9.91,23.86,884.68,19.77,15.56,iyi
GIRESUN,10.03,25.48,913.79,17.19,18.25,iyi
HATAY,6.91,4.98,1057.28,19.83,43.51,iyi
HATAY,4.77,4.34,1059.28,26.85,34.79,iyi
HATAY,5.79,4.14,1052.73,34.4,27.75,iyi
HATAY,6.37,4.27,1129.78,30.01,33.34,iyi
HATAY,3.41,4.45,1193.75,41.03,31.83,iyi
HATAY,3.36,5,1484.7,30.3,40.37,iyi
HATAY,7.44,5.31,1405.31,14.57,36.23,iyi
HATAY,7.83,4.31,1238.62,26.33,26.92,iyi
HATAY,6.23,4.39,1310.44,26.52,39.75,iyi
HATAY,5.76,4.32,1453.04,30.18,39.04,iyi
ISTANBUL,4.24,52.04,981.69,18.92,71.78,kotu
ISTANBUL,5.21,54.26,1052.09,11.92,135.28,kotu
ISTANBUL,4.81,51.23,1322.38,19.82,165.72,kotu
ISTANBUL,7.5,56.97,1308.05,51.48,100.43,kotu
ISTANBUL,12.56,61.68,2041.01,74.6,217.68,kotu
ISTANBUL,11.4,56.09,1547.92,69.65,196.19,kotu
ISTANBUL,8.22,43.04,824.18,109.34,36.02,iyi
ISTANBUL,7.56,49.62,1028.92,86.65,127.355556,kotu
ISTANBUL,7.26,50.43,1115.13,80.5,89.3,kotu
ISTANBUL,7.28,52.33,1242.55,77.94,133.8,kotu
IZMIR,5.81,2.12,476.13,58.7,44.49,iyi
IZMIR,5.75,2.09,481.6,54.85,53,iyi
IZMIR,6.98,2.11,564.99,40.57,103.43,kotu
IZMIR,7.2,2.09,594.18,31.07,131.09,kotu
IZMIR,6.51,2.11,554.87,39.15,82.31,kotu
IZMIR,5.53,2.09,494.23,69.72,46.25,iyi
IZMIR,5.65,2.1,481.19,43.97,51.16,iyi
IZMIR,5.52,2.09,455,54.34,36.61,iyi
IZMIR,5.48,2.08,471.31,50.35,39.57,iyi
IZMIR,5.57,2.11,462.65,54.11,50.6,iyi
KARS,6.84,28.62,799.81,38.81,20.72,iyi
KARS,9.24,33.3,1048.88,28.11,20.92,iyi
KARS,7.27,35.2,893.05,26.69,27.35,iyi
KARS,7.09,31.48,947.07,25.66,23.97,iyi
KARS,7.88,34.61,811.4,25.05,34.29,iyi
KARS,7.57,26.16,742.28,35.94,24.63,iyi
KARS,6.79,24.43,849.16,27.44,31.64,iyi
KARS,8.12,27.67,1057.8,22.91,39.45,iyi
KARS,10.18,30.11,1092.23,22.2,52.41,iyi
KARS,8.24,26.88,827.35,31.77,42.93,iyi
KASTAMONU,11.8,35.51,1301.21,19.71,39.13,iyi
KASTAMONU,12.62,46.07,1591.74,11.89,52.79,iyi
KASTAMONU,9.32,46.86,1618.88,16.72,53.28,iyi
